id,city,state,bathrooms,bedrooms,livingArea,lotArea,lotUnit,price,homeType_CONDO,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE,median_income
119,Willow Spring,NC,3.0,3.0,2582.0,26745.84,acres,471000.0,0,0,1,0,39241.0
120,Horsham,PA,2.0,4.0,2146.0,8712.0,sqft,430000.0,0,0,1,0,48920.0
121,Spartanburg,SC,3.0,3.0,1549.0,16988.4,acres,236500.0,0,0,1,0,29675.0
122,Glenburn,ME,2.0,2.0,1128.0,13068.0,acres,268300.0,0,0,1,0,29940.0
123,Blue River,WI,2.0,3.0,1600.0,13068.0,acres,60000.0,0,0,1,0,38043.0
124,Henderson,CO,3.0,3.0,1417.0,5044.0,sqft,447000.0,0,0,1,0,63364.0
125,North Chelmsford,MA,2.0,2.0,1600.0,0.0,sqft,430000.0,1,0,0,0,54000.0
126,Malvern,AR,4.0,4.0,2936.0,31363.199999999997,acres,540000.0,0,0,1,0,22975.0
127,Enumclaw,WA,2.0,3.0,2640.0,104108.40000000001,acres,686000.0,0,0,1,0,37426.0
128,Fairfax Station,VA,4.0,5.0,5248.0,10454.4,sqft,1052000.0,0,0,1,0,129531.0
129,North Bend,OR,3.0,4.0,2320.0,91040.4,acres,610000.0,0,0,1,0,28835.0
130,Benbrook,TX,2.0,3.0,2362.0,17249.759999999995,acres,470400.0,0,0,1,0,51584.0
131,West Des Moines,IA,3.0,3.0,1492.0,0.0,sqft,206000.0,0,0,0,1,53923.0
132,Hillsboro,AL,2.0,3.0,1357.0,30491.999999999996,acres,100000.0,0,0,1,0,20175.0
133,Raleigh,NC,2.5,3.0,1425.0,6534.0,sqft,291622.0,0,0,1,0,48987.0
134,Houma,LA,1.0,3.0,1268.0,7840.8,sqft,34700.0,0,0,1,0,34288.0
135,Franklinville,NJ,2.0,3.0,1555.0,70131.6,acres,235000.0,0,0,1,0,36250.0
136,Natick,MA,2.0,4.0,1732.0,10019.0,sqft,690000.0,0,0,1,0,61613.0
137,Pine Bluff,AR,1.0,3.0,975.0,0.0,acres,47500.0,0,0,1,0,24768.0
138,Davenport,IA,1.0,2.0,1286.0,7050.0,sqft,135000.0,0,0,1,0,31688.0
139,Eagle River,AK,2.0,4.0,1771.0,11074.0,acres,399800.0,0,0,1,0,69040.0
140,Meridianville,AL,2.0,4.0,1884.0,8276.4,sqft,292640.0,0,0,1,0,47120.0
141,Butler,PA,2.0,3.0,1372.0,29620.799999999996,acres,269000.0,0,0,1,0,34438.0
142,Lansing,MI,2.0,3.0,1028.0,8145.72,sqft,190145.0,0,0,1,0,31870.0
143,Easton,MD,3.0,3.0,2975.0,13068.0,acres,450000.0,0,0,1,0,40219.0
144,Columbia,TN,3.0,3.0,1629.0,0.0,sqft,252360.0,0,0,0,1,33712.0
145,Honolulu,HI,2.0,3.0,1044.0,0.0,sqft,760000.0,1,0,0,0,56813.0
146,Lenexa,KS,4.0,5.0,2577.0,12304.999999999998,acres,355200.0,0,0,1,0,62983.0
147,Cabot,AR,2.0,3.0,1711.0,152460.0,acres,176000.0,0,0,1,0,35091.0
148,Bryant,AR,2.0,3.0,1228.0,17859.6,acres,170000.0,0,0,1,0,40921.0
149,Bryant,AR,2.0,3.0,1080.0,7405.2,sqft,132500.0,0,0,1,0,40921.0
150,Washington,DC,4.0,3.0,2100.0,0.0,sqft,850000.0,1,0,0,0,76295.0
151,Gore,VA,1.0,2.0,964.0,10890.0,acres,200000.0,0,0,1,0,46619.0
152,Carlisle,IA,1.0,3.0,1248.0,9147.6,sqft,167000.0,0,0,1,0,32051.0
153,North Charleston,SC,3.0,4.0,1880.0,0.0,sqft,316615.0,0,0,0,1,30990.0
154,East Freedom,PA,2.0,3.0,1530.0,15681.599999999999,acres,126000.0,0,0,1,0,27361.0
155,Petal,MS,3.0,3.729905286061692,1624.0,152460.0,acres,100800.0,0,0,1,0,35481.0
156,Omaha,NE,2.0,4.0,1742.0,6534.0,sqft,219000.0,0,0,1,0,40659.0
157,Bossier City,LA,2.0,3.0,1722.0,6534.0,sqft,249600.0,0,0,1,0,33651.0
158,Eagle,ID,2.0,3.0,1852.0,5662.8,sqft,522800.0,0,0,1,0,45910.0
159,Weiser,ID,1.0,2.0,1342.0,43560.0,acres,430200.0,0,0,1,0,23958.0
160,New Palestine,IN,4.0,4.0,2191.0,14801.688,acres,350000.0,0,0,1,0,35280.0
161,Eagle River,WI,2.0,3.0,1216.0,65776.00000000001,acres,190000.0,0,0,1,0,31077.0
162,Colorado Springs,CO,2.0,3.0,1471.0,5516.0,sqft,420000.0,0,0,1,0,60404.0
163,Los Angeles,CA,6.0,9.0,3806.0,5227.0,sqft,975000.0,0,1,0,0,17154.0
164,Murray,KY,1.0,2.0,914.0,7840.8,sqft,76000.0,0,0,1,0,21657.0
165,Dolton,IL,3.0,5.0,2625.0,5279.472,sqft,244000.0,0,0,1,0,28049.0
166,Savannah,GA,2.0,3.0,1719.0,11761.2,acres,313000.0,0,0,1,0,53819.0
167,Port Huron,MI,2.0,3.0,988.0,2613.6,sqft,113000.0,0,0,1,0,26520.0
168,Kihei,HI,2.0,2.0,750.0,0.0,sqft,550000.0,1,0,0,0,49142.0
169,Rowlett,TX,4.0,4.0,3382.0,8363.52,sqft,473700.0,0,0,1,0,62031.0
170,Marion,IN,3.0,3.0,1836.0,56628.0,acres,225000.0,0,0,1,0,28897.0
171,Riverton,WY,2.0,3.0,1652.0,6098.0,sqft,240100.0,0,0,1,0,33369.0
172,Eastsound,WA,2.0,2.0,1320.0,7357.284,sqft,700000.0,0,0,1,0,31979.0
173,Olathe,KS,3.0,4.0,2629.0,11136.0,acres,350800.0,0,0,1,0,41434.0
174,Saint Louis,MO,1.0,3.0,952.0,5270.76,sqft,163400.0,0,0,1,0,33928.0
175,Cheyenne,WY,2.0,3.0,2068.0,4928.0,sqft,276500.0,0,0,1,0,38638.0
176,Zion,IL,4.0,4.0,1850.0,8799.12,sqft,220500.0,0,0,1,0,29304.0
177,Portland,OR,3.0,2.0,2216.0,1742.4,sqft,625000.0,0,0,1,0,41326.0
178,Anchorage,AK,3.0,6.0,2848.0,6060.0,sqft,377900.0,0,1,0,0,66044.0
179,Toledo,OH,1.0,3.0,1023.0,3920.3999999999996,acres,88000.0,0,0,1,0,32401.0
180,Wilmington,MA,3.0,3.0,2545.0,0.0,sqft,635000.0,1,0,0,0,61996.0
181,Anchorage,AK,5.0,8.0,4292.0,9000.0,sqft,568800.0,0,1,0,0,61270.0
182,Sycamore,KY,3.0,3.0,1975.0,0.0,sqft,219000.0,1,0,0,0,52337.0
183,Manchester,CT,2.0,4.0,2473.0,12196.799999999996,acres,282900.0,0,0,1,0,44513.0
184,Stratford,CT,1.0,4.0,1373.0,6969.6,sqft,320000.0,0,0,1,0,48259.0
185,Mashpee,MA,2.0,3.0,1428.0,40945.99999999999,acres,495000.0,0,0,1,0,45020.0
186,Kihei,HI,2.0,2.0,750.0,0.0,sqft,550000.0,1,0,0,0,49142.0
187,Shreveport,LA,2.0,3.0,1860.0,24480.72,acres,221800.0,0,0,1,0,27013.0
188,Laurel,DE,3.0,3.0,1280.0,3484.8,sqft,175000.0,0,0,1,0,27419.0
189,Rome,GA,3.0,2.0,1320.0,0.0,sqft,259900.0,0,0,0,1,23880.0
190,Antrim,NH,2.0,2.0,1232.0,37462.0,acres,235000.0,0,0,1,0,39732.0
191,Harpers Ferry,WV,2.0,4.0,2208.0,91681.0,acres,350000.0,0,0,1,0,44708.0
192,Pawtucket,RI,1.0,3.0,1032.0,6098.0,sqft,299900.0,0,0,1,0,42574.0
193,Indianapolis,IN,1.0,2.0,1632.0,4225.32,sqft,84500.0,0,0,1,0,22897.0
194,Killington,VT,1.0,1.0,611.0,0.0,sqft,200000.0,1,0,0,0,41838.0
195,Sterlington,LA,2.431612026216735,3.729905286061692,3028.0,43560.0,acres,427400.0,0,0,1,0,32266.0
196,Sun City,AZ,1.0,2.0,1062.0,359.0,sqft,185000.0,0,1,0,0,29011.0
197,Denver,CO,2.0,3.0,1454.0,6000.0,sqft,421000.0,0,0,1,0,34063.0
198,Boca Raton,FL,2.0,1.0,715.0,0.0,sqft,75000.0,1,0,0,0,33515.0
199,Manchester,NH,2.0,3.0,1898.0,8276.4,sqft,365000.0,0,0,1,0,42435.0
200,Savannah,GA,2.0,3.0,1516.0,3920.3999999999996,acres,112000.0,0,0,1,0,28720.0
201,Woodstock,IL,4.0,4.0,2924.0,6098.4,sqft,320000.0,0,0,1,0,38684.0
202,Charlotte,NC,2.5,2.0,1510.0,0.0,sqft,250000.0,0,0,0,1,45109.0
