median_income,zip_code
36175,01561
38109,01562
75800,01564
35000,01566
71250,01568
41192,01569
32837,01570
28607,01571
59970,01581
48663,01583
35133,01585
33468,01588
60433,01590
44016,01602
24589,01603
37473,01604
23876,01605
46237,01606
29013,01607
32586,01608
26500,01609
24474,01610
58990,01611
38485,01612
47990,01701
45611,01702
36175,01718
58646,01719
55944,01720
67923,01721
75368,01730
36175,01731
85000,01740
36175,01741
55775,01742
73523,01745
51316,01746
54662,01747
52500,01748
48047,01749
52050,01752
49919,01754
67589,01756
42549,01757
61613,01760
31914,01770
56169,01772
57500,01773
62062,01775
56667,01776
64271,01778
57975,01801
51908,01803
58775,01810
53264,01821
52719,01824
45185,01826
61438,01827
37132,01830
50625,01832
53854,01833
46406,01834
53469,01835
15605,01840
18681,01841
31757,01843
42207,01844
44955,01845
36020,01850
39148,01851
32737,01852
26568,01854
36479,01860
54946,01862
54000,01863
61439,01864
52083,01867
53887,01876
53654,01879
49947,01880
51200,01886
61996,01887
60450,01890
12917,01901
24314,01902
43814,01904
32314,01905
40785,01906
64716,01907
52833,01908
51067,01913
46158,01915
83583,01921
41034,01922
40288,01923
58506,01929
38117,01930
36175,01937
42859,01938
49409,01940
53681,01944
56083,01945
68750,01949
63428,01950
50083,01951
47974,01952
42936,01960
42309,01966
50987,01969
49926,01970
46369,01982
36786,01983
36295,01984
36175,01985
50904,02019
55679,02021
36875,02025
54137,02026
116442,02030
83496,02032
60184,02035
54314,02038
43411,02043
52857,02045
45774,02047
53031,02048
45000,02050
39536,02052
58478,02053
58096,02054
61023,02056
34875,02061
53159,02062
55676,02066
49643,02067
36175,02071
44985,02072
47905,02081
51204,02090
42016,02093
104489,02108
128594,02109
69375,02110
47174,02111
95456,02113
77594,02114
30269,02115
85365,02116
54834,02118
17634,02119
35147,02120
24094,02121
50763,02122
37280,02124
42940,02125
37971,02126
105252,02127
51032,02128
89157,02129
72864,02130
55684,02131
55951,02132
52744,02134
72111,02135
34485,02136
73385,02138
84343,02139
86607,02140
77321,02141
104740,02142
85064,02143
98185,02144
84051,02145
45134,02148
41595,02149
31891,02150
39752,02151
44954,02152
71028,02155
49643,02163
51655,02169
63036,02170
63083,02171
50355,02176
46799,02180
53618,02184
41729,02186
51024,02188
41648,02189
63322,02190
61496,02191
67560,02199
36175,02203
147596,02210
39590,02215
28952,02301
32535,02302
46083,02322
51272,02324
45828,02330
59524,02332
43477,02333
34655,02338
50357,02339
37823,02341
42841,02343
54353,02346
54196,02347
44375,02351
64583,02356
36175,02357
53914,02359
48120,02360
38483,02364
36175,02366
53047,02367
47053,02368
46885,02370
50664,02375
38884,02379
43852,02382
43264,02420
62292,02421
